run event,p1,theta1,p2,theta2,type
Run 146644 Event 1468836689,53.47590248,-167.7065709,35.26409571,27.31835555,electron
Run 146644 Event 1055326475,48.72073428,33.35489863,52.55732823,-108.8356757,electron
Run 146644 Event 308796529,47.89271461,141.8098287,43.6985696,-28.00068938,electron
Run 146644 Event 921777801,48.28989591,141.6757527,44.77106085,-39.68584198,electron
Run 146644 Event 456255860,47.94436906,79.25022774,44.87570591,-114.4816881,electron
Run 149181 Event 1611673621,44.01431958,173.5324028,45.86016109,-10.51252801,electron
Run 149181 Event 1041423946,48.62087882,66.6506829,46.18957026,-98.65896456,electron
Run 149181 Event 687426384,52.78888172,171.5291176,40.86444272,-19.13386758,electron
Run 149181 Event 749611517,41.28637491,3.367170462,37.84281608,-158.2052257,electron
Run 149181 Event 1451178130,44.70277138,-60.16308747,43.69209337,125.6310179,electron
Run 149181 Event 1166214390,70.47688068,-101.4907663,43.06963513,5.338735709,electron
Run 149181 Event 729249869,42.11288604,-107.4459572,53.16200082,46.10662362,electron
Run 149181 Event 1522304402,45.18697622,-37.15924988,45.4633509,126.2629436,electron
Run 149181 Event 1508321620,49.82512783,-43.07244043,68.44657067,60.54769674,electron
Run 149181 Event 1770819708,46.59840999,13.5661645,43.01173866,-158.1230455,electron
Run 149181 Event 1758119312,38.138076,135.4391608,44.6410125,-49.9285707,electron
Run 149181 Event 1078535897,55.32987366,132.7606344,105.327419,-153.098158,electron
Run 149181 Event 67498230,42.51237874,169.7023115,48.77398902,-13.34799483,electron
Run 149181 Event 640787783,27.49181598,29.01454399,82.6531288,172.3656636,electron
Run 149181 Event 509968388,55.81611024,177.0371787,38.13716586,-9.80145158,electron
Run 149181 Event 407384834,41.93215943,-163.0162549,49.45614529,7.529596741,electron
Run 149181 Event 513710455,44.74399704,97.51965361,47.81144268,-81.7997519,electron
Run 149181 Event 582723176,51.5423469,84.12799223,40.30422556,-131.489015,electron
Run 149181 Event 179602397,46.36171825,43.54738078,45.01253407,-141.4411976,electron
Run 149181 Event 133190790,40.73149616,101.5183257,47.21081229,-76.47883783,electron
Run 149181 Event 146389006,70.08465269,-34.5401014,31.44407777,157.3668614,electron
Run 149181 Event 52784306,65.24714151,99.51497193,57.08074339,5.463802411,electron
Run 149181 Event 204697106,46.67775205,-58.41640501,42.48727959,125.2905847,electron
Run 147114 Event 395956905,44.01834904,-106.7960536,46.9371748,67.96941986,electron
Run 149011 Event 726412718,52.76282063,42.63986552,42.37006657,-128.6621102,electron
Run 149011 Event 901248348,46.60378081,-120.8649548,47.42309573,26.50123986,electron
Run 149011 Event 695674429,42.77988959,-27.45508194,48.14401098,145.2358483,electron
Run 149011 Event 110490358,58.2638758,-79.74378472,33.84949074,112.2579321,electron
Run 149011 Event 170488291,42.71626221,-89.63596046,48.42834531,93.07537055,electron
Run 149011 Event 893808882,50.17923343,-101.4401142,42.46194441,46.61851591,electron
Run 149011 Event 428232168,50.03146497,88.78412401,44.06039353,-76.40783202,electron
Run 148031 Event 480384573,47.17607349,73.53360032,45.72233083,-106.1169925,electron
Run 148031 Event 100632096,33.78639653,-45.48049646,55.5224329,119.4617651,electron
Run 148031 Event 10869805,44.09397896,58.05935286,45.39814225,-135.9027207,electron
Run 148031 Event 304161466,42.82910783,-133.8929794,48.75171762,62.74714426,electron
Run 148031 Event 269431324,38.69584636,98.68047463,54.99502967,-82.36441365,electron
Run 148031 Event 431607749,43.43551262,-131.5926351,41.44400381,37.24408413,electron
Run 148031 Event 424676461,46.27982913,39.54912727,41.09726512,-145.2917438,electron
Run 147754 Event 558639225,45.82984377,-61.98868389,45.1250186,118.0060212,electron
Run 147754 Event 568958616,48.27537891,137.054712,64.28652518,28.80094618,electron
Run 147754 Event 139626407,44.98718501,167.2148145,49.09077918,-12.17516503,electron
Run 147754 Event 69675587,42.12314999,-68.12157817,47.89586862,104.1007985,electron
Run 147754 Event 574293331,41.62973888,-92.56591615,47.91432205,81.41687624,electron
Run 147754 Event 444507016,46.0292396,-100.416859,39.42514116,78.82700153,electron
Run 147754 Event 113414694,44.32942845,-98.68091595,48.96792026,98.28799481,electron
Run 147929 Event 336453840,46.36808142,-169.1010355,43.1361771,12.6268743,electron
Run 147929 Event 14420323,48.41405304,-76.37550408,42.26235732,107.0541378,electron
Run 148029 Event 400105405,36.83544182,-2.13798337,39.71990347,-139.8245794,electron
Run 148029 Event 243014466,29.48211726,-35.11313147,54.24363456,146.3695197,electron
Run 148029 Event 24079302,46.83266575,-149.5533369,44.58258112,24.61417462,electron
Run 148029 Event 138851393,42.525527,-169.9267981,41.21885808,9.358016098,electron
Run 148029 Event 268676564,45.23595896,-35.2031488,42.39962042,141.2825984,electron
Run 148029 Event 302526942,41.81228764,82.53285028,43.40183925,-100.6537036,electron
Run 148029 Event 190011424,51.68383372,84.31467844,41.70559043,-84.81903019,electron
Run 147926 Event 498335229,40.66717603,-15.46954721,49.59171898,167.5000148,electron
Run 147926 Event 55125141,41.62099576,-11.57256504,42.75830147,163.5765894,electron
Run 147926 Event 155216724,51.33664204,-7.590520597,48.9829314,146.6068096,electron
Run 146944 Event 332677748,17.63672802,63.94827528,124.6678295,-97.44089304,electron
Run 146944 Event 610950714,40.03532775,-127.5997081,49.45002039,42.38561861,electron
Run 149182 Event 348215606,41.30490497,-107.7859918,48.66248781,74.14680637,electron
Run 149182 Event 324119276,42.95866437,7.752724584,49.20120183,-158.6883719,electron
Run 149182 Event 49054795,58.31414789,-1.715873302,39.93913251,-158.3351444,electron
Run 149182 Event 247188925,45.04693617,37.79535628,46.11394762,-141.0761368,electron
Run 149182 Event 222231662,37.62353948,-45.37172504,52.29120041,151.7314071,electron
Run 146511 Event 276061038,54.61585897,-41.86639538,38.71313825,127.9405094,electron