run event,p1,theta1 (deg),p2,theta2 (deg),type
Run 148031 Event 146951471,46.6346,-114.8104289,45.9431,44.14989316,muon
Run 148031 Event 146951471,46.2547,44.14622623,46.6346,-114.8104289,muon
Run 148031 Event 146951471,46.2547,44.14622623,46.6834,-114.8104289,muon
Run 148031 Event 146951471,45.9431,44.14989316,46.6834,-114.8104289,muon
Run 148031 Event 267892947,49.853,-43.60426545,42.0097,143.4290978,muon
Run 148031 Event 267892947,41.9716,143.4290978,49.853,-43.60426545,muon
Run 148031 Event 267892947,41.9716,143.4290978,49.7185,-43.60231739,muon
Run 148031 Event 267892947,42.0097,143.4290978,49.7185,-43.60231739,muon
Run 148031 Event 409755176,41.1508,-100.4498147,34.5,71.2897007,muon
Run 148031 Event 409755176,34.5644,71.28855479,41.1508,-100.4498147,muon
Run 148031 Event 409755176,34.5644,71.28855479,41.1365,-100.4503877,muon
Run 148031 Event 409755176,34.5,71.2897007,41.1365,-100.4503877,muon
Run 148031 Event 447172799,138.148,-152.6061628,69.8163,-95.57165206,muon
Run 148031 Event 447172799,69.6363,-95.57222502,138.148,-152.6061628,muon
Run 148031 Event 447172799,69.6363,-95.57222502,139.501,-152.6084546,muon
Run 148031 Event 447172799,69.8163,-95.57165206,139.501,-152.6084546,muon
Run 148031 Event 521117058,45.0404,-121.1696875,45.7424,61.70182496,muon
Run 148031 Event 521117058,45.5231,61.69953313,45.0404,-121.1696875,muon
Run 148031 Event 521117058,45.5231,61.69953313,45.0987,-121.1702604,muon
Run 148031 Event 521117058,45.7424,61.70182496,45.0987,-121.1702604,muon
Run 148031 Event 56419238,44.8479,45.47262352,46.1124,-137.1368753,muon
Run 148031 Event 56419238,46.1002,-137.1380212,44.8479,45.47262352,muon
Run 148031 Event 56419238,46.1002,-137.1380212,44.7718,45.47205057,muon
Run 148031 Event 56419238,46.1124,-137.1368753,44.7718,45.47205057,muon
Run 148031 Event 605182813,45.9324,-163.9925531,47.1834,25.65871164,muon
Run 148031 Event 605182813,47.3094,25.6565917,45.9324,-163.9925531,muon
Run 148031 Event 605182813,47.3094,25.6565917,45.9148,-163.9925531,muon
Run 148031 Event 605182813,47.1834,25.65871164,45.9148,-163.9925531,muon
Run 148029 Event 399491540,43.6008,-160.6292908,47.9568,13.40801455,muon
Run 148029 Event 399491540,47.8155,13.40910317,43.6008,-160.6292908,muon
Run 148029 Event 399491540,47.8155,13.40910317,43.572,-160.6292908,muon
Run 148029 Event 399491540,47.9568,13.40801455,43.572,-160.6292908,muon